"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 04- 09","187.09","185.60","187.15","185.06","100.25M","1.08%"
"2014- 04- 08","185.10","184.26","185.40","183.59","112.66M","0.41%"
"2014- 04- 07","184.34","185.95","186.26","183.96","140.80M","-1.11%"
"2014- 04- 04","186.40","189.66","189.70","186.10","169.38M","-1.18%"
"2014- 04- 03","188.63","189.17","189.22","188.05","77.44M","-0.13%"
"2014- 04- 02","188.88","188.49","189.13","188.14","78.77M","0.33%"
"2014- 04- 01","188.25","187.62","188.36","187.00","89.19M","0.66%"
"2014- 03- 31","187.01","186.67","187.30","185.52","99.74M","0.82%"
"2014- 03- 28","185.49","185.10","186.42","185.00","101.64M","0.49%"
"2014- 03- 27","184.58","184.75","185.34","183.90","142.38M","-0.21%"
"2014- 03- 26","184.97","187.04","187.34","184.92","119.84M","-0.72%"
"2014- 03- 25","186.31","186.37","186.94","185.27","103.85M","0.47%"
"2014- 03- 24","185.43","186.84","187.07","184.62","121.41M","-0.41%"
"2014- 03- 21","186.20","187.71","189.02","186.03","163.13M","-0.83%"
"2014- 03- 20","187.75","186.25","187.89","185.92","117.24M","0.58%"
"2014- 03- 19","186.66","187.68","187.94","185.47","176.27M","-0.53%"
"2014- 03- 18","187.66","186.71","187.91","186.51","101.80M","0.71%"
"2014- 03- 17","186.33","185.59","186.77","185.51","98.36M","0.90%"
"2014- 03- 14","184.66","184.85","185.80","184.44","153.92M","-0.28%"
"2014- 03- 13","185.18","187.84","187.99","184.66","155.01M","-1.12%"
"2014- 03- 12","187.28","186.32","187.35","185.90","104.82M","0.03%"
"2014- 03- 11","187.23","188.44","188.71","186.80","99.01M","-0.49%"
"2014- 03- 10","188.16","187.97","188.23","187.08","74.94M","-0.05%"
"2014- 03- 07","188.26","188.96","188.96","187.43","114.51M","0.04%"
"2014- 03- 06","188.18","188.21","188.61","187.78","82.52M","0.23%"
"2014- 03- 05","187.75","187.74","188.07","187.45","88.38M","0.09%"
"2014- 03- 04","187.58","186.79","187.98","186.75","167.55M","1.41%"
"2014- 03- 03","184.98","184.65","185.45","183.75","167.75M","-0.70%"
"2014- 02- 28","186.29","185.79","187.15","185.05","150.84M","0.25%"
"2014- 02- 27","185.82","184.58","185.87","184.37","93.88M","0.52%"
"2014- 02- 26","184.85","185.11","185.60","184.33","98.68M","0.01%"
"2014- 02- 25","184.84","185.06","185.59","184.23","117.08M","-0.04%"
"2014- 02- 24","184.91","184.28","186.15","184.20","114.06M","0.55%"
"2014- 02- 21","183.89","184.45","184.89","183.80","118.12M","-0.11%"
"2014- 02- 20","184.10","183.27","184.52","182.60","105.00M","0.59%"
"2014- 02- 19","183.02","183.76","184.95","182.87","126.52M","-0.66%"
"2014- 02- 18","184.24","184.18","184.49","183.65","80.46M","0.12%"
"2014- 02- 14","184.02","182.84","184.36","182.67","96.50M","0.55%"
"2014- 02- 13","183.01","180.84","183.20","180.83","100.54M","0.52%"
"2014- 02- 12","182.07","182.25","182.83","181.71","94.72M","0.05%"
"2014- 02- 11","181.98","180.16","182.44","180.04","117.81M","1.09%"
"2014- 02- 10","180.01","179.70","180.07","179.21","92.22M","0.18%"
"2014- 02- 07","179.68","178.31","179.87","177.73","170.79M","1.24%"
"2014- 02- 06","177.48","175.58","177.48","175.22","132.88M","1.32%"
"2014- 02- 05","175.17","174.78","175.56","173.71","164.23M","-0.12%"
"2014- 02- 04","175.38","174.95","175.84","174.11","165.01M","0.69%"
"2014- 02- 03","174.17","177.97","178.37","173.83","254.84M","-2.25%"
"2014- 01- 31","178.18","177.01","179.29","176.92","194.68M","-0.59%"
"2014- 01- 30","179.23","178.83","179.81","178.26","118.94M","1.06%"
"2014- 01- 29","177.35","177.58","178.55","176.88","216.60M","-0.96%"
"2014- 01- 28","179.07","178.14","179.30","178.12","110.46M","0.60%"
"2014- 01- 27","178.01","179.06","179.52","177.12","180.84M","-0.49%"
"2014- 01- 24","178.89","181.60","181.66","178.83","208.68M","-2.13%"
"2014- 01- 23","182.79","183.37","183.40","181.82","132.50M","-0.82%"
"2014- 01- 22","184.30","184.49","184.57","183.91","61.27M","0.07%"
"2014- 01- 21","184.18","184.70","184.77","183.05","88.62M","0.30%"
"2014- 01- 17","183.63","184.10","184.45","183.32","107.85M","-0.43%"
"2014- 01- 16","184.42","184.28","184.66","183.83","72.29M","-0.13%"
"2014- 01- 15","184.66","184.10","184.94","183.71","98.53M","0.54%"
"2014- 01- 14","183.67","182.29","183.77","181.95","105.02M","1.09%"
"2014- 01- 13","181.69","183.67","184.18","181.34","149.89M","-1.33%"
"2014- 01- 10","184.14","183.95","184.22","183.01","102.03M","0.27%"
"2014- 01- 09","183.64","184.11","184.13","182.79","90.68M","0.07%"
"2014- 01- 08","183.52","183.45","183.83","182.89","96.58M","0.02%"
"2014- 01- 07","183.48","183.09","183.79","182.95","86.14M","0.61%"
"2014- 01- 06","182.36","183.49","183.56","182.08","108.03M","-0.28%"
"2014- 01- 03","182.88","183.23","183.60","182.63","81.39M","-0.02%"
"2014- 01- 02","182.92","183.98","184.07","182.48","119.64M","-0.96%"
"2013- 12- 31","184.69","184.07","184.69","183.93","86.25M","0.47%"
"2013- 12- 30","183.82","183.87","184.02","183.58","56.86M","-0.01%"
"2013- 12- 27","183.84","184.10","184.18","183.66","61.81M","-0.01%"
"2013- 12- 26","183.85","183.34","183.96","183.32","63.37M","0.50%"
"2013- 12- 24","182.93","182.54","183.01","182.53","45.37M","0.22%"
"2013- 12- 23","182.53","182.45","182.64","182.06","85.60M","0.53%"
"2013- 12- 20","181.56","180.69","181.99","180.57","197.09M","0.04%"
"2013- 12- 19","181.49","181.18","181.70","180.71","136.30M","-0.12%"
"2013- 12- 18","181.70","178.92","181.73","177.32","234.91M","1.71%"
"2013- 12- 17","178.65","179.38","179.41","178.25","89.89M","-0.32%"
"2013- 12- 16","179.22","178.95","179.81","178.90","96.19M","0.62%"
"2013- 12- 13","178.11","178.50","178.66","177.77","107.81M","-0.01%"
"2013- 12- 12","178.13","178.64","178.86","177.76","115.56M","-0.33%"
"2013- 12- 11","178.72","180.82","180.85","178.50","130.59M","-1.12%"
"2013- 12- 10","180.75","180.98","181.36","180.63","80.98M","-0.36%"
"2013- 12- 09","181.40","181.47","181.67","181.16","70.12M","0.25%"
"2013- 12- 06","180.94","180.67","181.11","180.15","127.73M","1.12%"
"2013- 12- 05","178.94","179.41","179.74","178.77","106.93M","-0.44%"
"2013- 12- 04","179.73","179.10","180.48","178.35","123.03M","-0.01%"
"2013- 12- 03","179.75","179.94","180.39","179.17","116.56M","-0.43%"
"2013- 12- 02","180.53","181.09","181.43","180.25","99.73M","-0.26%"
"2013- 11- 29","181.00","181.32","181.75","180.80","55.87M","-0.07%"
"2013- 11- 27","181.12","180.87","181.24","180.65","58.80M","0.24%"
"2013- 11- 26","180.68","180.72","181.22","180.41","86.99M","0.03%"
"2013- 11- 25","180.63","181.13","181.17","180.37","79.49M","-0.10%"
"2013- 11- 22","180.81","179.98","180.83","179.77","81.30M","0.50%"
"2013- 11- 21","179.91","178.97","180.05","178.86","92.84M","0.81%"
"2013- 11- 20","178.47","179.39","179.93","177.98","124.91M","-0.31%"
"2013- 11- 19","179.03","179.33","179.87","178.72","93.89M","-0.22%"
"2013- 11- 18","179.42","180.35","180.50","179.02","104.80M","-0.35%"
"2013- 11- 15","180.05","179.56","180.12","179.33","102.82M","0.44%"
"2013- 11- 14","179.27","178.54","179.42","178.25","103.44M","0.50%"
"2013- 11- 13","178.38","176.09","178.43","176.09","103.84M","0.80%"
"2013- 11- 12","176.96","176.94","177.36","176.37","83.99M","-0.20%"
"2013- 11- 11","177.32","177.12","177.53","176.91","62.61M","0.02%"
"2013- 11- 08","177.29","174.87","177.31","174.85","136.71M","1.35%"
"2013- 11- 07","174.93","177.50","177.64","174.76","157.00M","-1.26%"
"2013- 11- 06","177.17","177.03","177.50","176.54","87.35M","0.51%"
"2013- 11- 05","176.27","176.14","176.75","175.57","85.82M","-0.32%"
"2013- 11- 04","176.83","176.69","176.90","175.98","85.68M","0.35%"
"2013- 11- 01","176.21","176.02","176.61","175.22","142.81M","0.24%"
"2013- 10- 31","175.79","176.15","176.89","175.53","133.80M","-0.28%"
"2013- 10- 30","176.29","177.38","177.51","175.66","140.00M","-0.50%"
"2013- 10- 29","177.17","176.63","177.24","176.38","87.40M","0.53%"
"2013- 10- 28","176.23","175.89","176.47","175.70","84.98M","0.16%"
"2013- 10- 25","175.95","175.51","176.00","175.17","93.63M","0.46%"
"2013- 10- 24","175.15","174.92","175.37","174.51","70.35M","0.33%"
"2013- 10- 23","174.57","174.81","174.89","173.96","105.48M","-0.48%"
"2013- 10- 22","175.41","174.91","175.93","174.43","126.66M","0.58%"
"2013- 10- 21","174.40","174.45","174.75","174.01","104.10M","0.01%"
"2013- 10- 18","174.39","173.86","174.51","173.51","138.32M","0.68%"
"2013- 10- 17","173.22","171.37","173.32","171.34","129.39M","0.67%"
"2013- 10- 16","172.07","170.72","172.16","170.63","161.68M","1.40%"
"2013- 10- 15","169.70","170.51","171.15","169.47","155.48M","-0.73%"
"2013- 10- 14","170.94","169.21","171.08","169.08","112.11M","0.40%"
"2013- 10- 11","170.26","168.91","170.32","168.77","105.04M","0.64%"
"2013- 10- 10","169.17","167.29","169.26","167.23","195.95M","2.16%"
"2013- 10- 09","165.60","165.80","166.20","164.53","168.97M","0.07%"
"2013- 10- 08","165.48","167.40","167.62","165.36","178.01M","-1.16%"
"2013- 10- 07","167.43","167.42","168.45","167.25","96.30M","-0.86%"
"2013- 10- 04","168.89","167.75","169.06","167.53","96.88M","0.76%"
"2013- 10- 03","167.62","168.79","168.94","166.84","176.70M","-0.92%"
"2013- 10- 02","169.18","168.35","169.34","167.83","113.35M","-0.09%"
"2013- 10- 01","169.34","168.14","169.50","167.97","127.16M","0.79%"
"2013- 09- 30","168.01","167.48","168.54","167.15","143.94M","-0.53%"
"2013- 09- 27","168.91","168.84","169.14","168.47","99.14M","-0.46%"
"2013- 09- 26","169.69","169.32","170.17","169.05","77.15M","0.38%"
"2013- 09- 25","169.04","169.64","169.98","168.89","117.31M","-0.29%"
"2013- 09- 24","169.53","169.90","170.53","169.21","106.33M","-0.24%"
"2013- 09- 23","169.93","170.49","170.65","169.39","104.62M","-0.46%"
"2013- 09- 20","170.72","172.33","172.33","170.58","132.87M","-1.18%"
"2013- 09- 19","172.76","173.52","173.60","172.59","146.62M","-0.17%"
"2013- 09- 18","173.05","171.01","173.52","170.58","203.46M","1.16%"
"2013- 09- 17","171.07","170.46","171.11","170.46","82.52M","0.45%"
"2013- 09- 16","170.31","171.16","171.24","170.04","126.19M","0.58%"
"2013- 09- 13","169.33","169.13","169.46","168.74","72.73M","0.22%"
"2013- 09- 12","168.95","169.34","169.56","168.72","83.21M","-0.27%"
"2013- 09- 11","169.40","168.64","169.40","168.35","94.55M","0.31%"
"2013- 09- 10","168.87","168.64","168.90","168.26","105.85M","0.74%"
"2013- 09- 09","167.63","166.45","167.73","166.45","87.56M","0.96%"
"2013- 09- 06","166.04","166.51","166.98","164.48","159.76M","0.05%"
"2013- 09- 05","165.96","165.85","166.40","165.73","63.09M","0.13%"
"2013- 09- 04","165.75","164.43","166.03","164.13","97.39M","0.83%"
"2013- 09- 03","164.39","165.23","165.58","163.70","142.38M","0.45%"
"2013- 08- 30","163.65","164.51","164.53","163.17","134.93M","-0.32%"
"2013- 08- 29","164.17","163.55","165.04","163.40","119.20M","0.16%"
"2013- 08- 28","163.91","163.26","164.49","163.05","108.11M","0.36%"
"2013- 08- 27","163.33","164.36","166.00","163.21","158.62M","-1.61%"
"2013- 08- 26","166.00","166.79","167.30","165.89","89.71M","-0.37%"
"2013- 08- 23","166.62","166.55","166.83","165.77","90.89M","0.34%"
"2013- 08- 22","166.06","164.90","166.30","164.89","101.47M","0.91%"
"2013- 08- 21","164.56","165.12","166.03","164.19","159.53M","-0.62%"
"2013- 08- 20","165.58","165.04","166.20","164.86","89.29M","0.49%"
"2013- 08- 19","164.77","165.64","166.21","164.76","96.44M","-0.64%"
"2013- 08- 16","165.83","166.06","166.63","165.50","130.87M","-0.33%"
"2013- 08- 15","166.38","167.41","167.43","166.09","152.93M","-1.40%"
"2013- 08- 14","168.74","169.53","169.80","168.70","79.83M","-0.51%"
"2013- 08- 13","169.61","169.41","169.90","168.41","80.81M","0.30%"
"2013- 08- 12","169.11","168.46","169.31","168.38","68.59M","-0.12%"
"2013- 08- 09","169.31","169.58","170.10","168.72","91.86M","-0.29%"
"2013- 08- 08","169.80","169.98","170.18","168.93","102.18M","0.37%"
"2013- 08- 07","169.18","169.19","169.43","168.55","84.85M","-0.32%"
"2013- 08- 06","169.73","170.37","170.74","169.35","87.49M","-0.57%"
"2013- 08- 05","170.70","170.57","170.96","170.35","54.07M","-0.15%"
"2013- 08- 02","170.95","170.28","170.97","170.05","91.12M","0.17%"
"2013- 08- 01","170.66","169.99","170.81","169.90","110.44M","1.16%"
"2013- 07- 31","168.71","168.94","169.85","168.49","142.39M","0.07%"
"2013- 07- 30","168.59","169.10","169.28","168.19","85.22M","0.00%"
"2013- 07- 29","168.59","168.68","169.06","168.11","79.85M","-0.31%"
"2013- 07- 26","169.11","168.22","169.16","167.52","107.81M","0.11%"
"2013- 07- 25","168.93","168.22","169.08","167.94","111.16M","0.24%"
"2013- 07- 24","168.52","169.79","169.86","168.18","112.91M","-0.37%"
"2013- 07- 23","169.14","169.80","169.83","169.05","80.83M","-0.21%"
"2013- 07- 22","169.50","169.41","169.74","169.01","79.43M","0.20%"
"2013- 07- 19","169.17","168.52","169.23","168.31","103.83M","0.18%"
"2013- 07- 18","168.87","168.31","169.27","168.20","103.62M","0.55%"
"2013- 07- 17","167.95","168.16","168.48","167.73","92.87M","0.25%"
"2013- 07- 16","167.53","168.26","168.36","167.07","88.70M","-0.37%"
"2013- 07- 15","168.16","167.97","168.39","167.68","69.45M","0.39%"
"2013- 07- 12","167.51","167.39","167.93","167.13","104.21M","0.04%"
"2013- 07- 11","167.44","167.11","167.61","165.18","135.59M","1.36%"
"2013- 07- 10","165.19","164.97","165.75","164.63","121.41M","0.04%"
"2013- 07- 09","165.13","164.98","165.33","164.27","119.30M","0.73%"
"2013- 07- 08","163.94","163.86","164.39","163.08","108.09M","0.56%"
"2013- 07- 05","163.02","162.47","163.08","161.30","122.42M","1.08%"
"2013- 07- 03","161.28","160.48","161.77","160.22","75.22M","0.04%"
"2013- 07- 02","161.21","161.12","162.30","160.50","154.86M","-0.09%"
"2013- 07- 01","161.36","161.26","162.48","161.08","131.95M","0.59%"
"2013- 06- 28","160.42","160.63","161.40","159.86","160.40M","-0.41%"
"2013- 06- 27","161.08","161.10","161.82","160.95","129.48M","0.59%"
"2013- 06- 26","160.14","159.87","160.50","159.25","134.85M","0.99%"
"2013- 06- 25","158.57","158.48","160.10","157.42","162.26M","0.96%"
"2013- 06- 24","157.06","157.41","158.43","155.73","222.33M","-1.26%"
"2013- 06- 21","159.07","159.64","159.76","157.47","271.96M","-0.21%"
"2013- 06- 20","159.40","161.86","163.47","158.98","321.26M","-2.48%"
"2013- 06- 19","163.45","165.60","165.89","163.38","206.15M","-1.38%"
"2013- 06- 18","165.74","164.53","165.99","164.52","114.70M","0.79%"
"2013- 06- 17","164.44","164.29","165.22","163.22","136.30M","0.77%"
"2013- 06- 14","163.18","164.03","164.67","162.91","141.20M","-0.63%"
"2013- 06- 13","164.21","161.66","164.50","161.30","163.59M","1.52%"
"2013- 06- 12","161.75","164.22","164.39","161.60","177.36M","-0.83%"
"2013- 06- 11","163.10","163.30","164.54","162.74","159.51M","-1.03%"
"2013- 06- 10","164.80","165.31","165.40","164.37","105.67M","0.00%"
"2013- 06- 07","164.80","163.85","164.95","163.14","188.34M","1.27%"
"2013- 06- 06","162.73","161.20","162.74","160.25","200.23M","0.91%"
"2013- 06- 05","161.27","163.09","163.42","161.13","211.74M","-1.40%"
"2013- 06- 04","163.56","164.44","165.10","162.73","157.63M","-0.48%"
"2013- 06- 03","164.35","163.83","164.46","162.66","168.39M","0.56%"
"2013- 05- 31","163.44","165.37","166.31","163.13","176.85M","-1.44%"
"2013- 05- 30","165.83","165.35","166.59","165.22","107.79M","0.37%"
"2013- 05- 29","165.22","165.42","165.80","164.34","160.36M","-0.65%"
"2013- 05- 28","166.30","167.04","167.78","165.81","143.68M","0.60%"
"2013- 05- 24","165.31","164.47","165.38","163.98","151.57M","-0.08%"
"2013- 05- 23","165.45","164.16","165.91","163.94","211.06M","-0.29%"
"2013- 05- 22","165.93","167.34","169.07","165.17","244.03M","-0.74%"
"2013- 05- 21","167.17","167.08","167.80","166.50","95.80M","0.14%"
"2013- 05- 20","166.93","166.78","167.58","166.61","85.07M","-0.01%"
"2013- 05- 17","166.94","165.95","167.04","165.73","129.80M","0.97%"
"2013- 05- 16","165.34","165.78","166.36","165.09","109.91M","-0.47%"
"2013- 05- 15","166.12","164.96","166.45","164.91","120.72M","0.54%"
"2013- 05- 14","165.23","163.67","165.35","163.67","119.00M","1.03%"
"2013- 05- 13","163.54","163.20","163.81","162.82","81.84M","0.08%"
"2013- 05- 10","163.41","162.99","163.55","162.51","103.20M","0.33%"
"2013- 05- 09","162.88","163.27","163.70","162.47","106.74M","-0.28%"
"2013- 05- 08","163.34","162.42","163.39","162.33","97.42M","0.46%"
"2013- 05- 07","162.60","162.13","162.65","161.67","90.36M","0.51%"
"2013- 05- 06","161.78","161.49","162.01","161.42","66.88M","0.25%"
"2013- 05- 03","161.37","161.14","161.88","159.78","144.20M","1.01%"
"2013- 05- 02","159.75","158.68","159.89","158.53","96.41M","0.93%"
"2013- 05- 01","158.28","159.33","159.41","158.10","138.87M","-0.88%"
"2013- 04- 30","159.68","159.27","159.72","158.61","116.01M","0.24%"
"2013- 04- 29","159.30","158.67","159.65","158.42","88.57M","0.67%"
"2013- 04- 26","158.24","158.33","158.60","157.73","95.92M","-0.18%"
"2013- 04- 25","158.52","158.34","159.27","158.10","131.06M","0.41%"
"2013- 04- 24","157.88","157.83","158.30","157.54","96.78M","0.06%"
"2013- 04- 23","157.78","156.95","157.93","156.17","166.14M","1.03%"
"2013- 04- 22","156.17","155.78","156.54","154.75","106.55M","0.44%"
"2013- 04- 19","155.48","154.50","155.55","154.12","149.69M","0.87%"
"2013- 04- 18","154.14","155.37","155.41","153.55","167.58M","-0.63%"
"2013- 04- 17","155.11","156.29","156.32","154.28","226.83M","-1.46%"
"2013- 04- 16","157.41","156.29","157.49","155.91","147.51M","1.48%"
"2013- 04- 15","155.12","158.00","158.13","155.10","217.26M","-2.32%"
"2013- 04- 12","158.80","158.68","159.04","157.92","116.36M","-0.24%"
"2013- 04- 11","159.19","158.70","159.71","158.54","110.14M","0.33%"
"2013- 04- 10","158.67","157.17","158.87","157.13","135.71M","1.22%"
"2013- 04- 09","156.75","156.50","157.32","155.98","101.92M","0.35%"
"2013- 04- 08","156.21","155.27","156.22","154.75","86.57M","0.68%"
"2013- 04- 05","155.16","153.95","155.35","153.77","159.67M","-0.45%"
"2013- 04- 04","155.86","155.43","156.17","155.09","131.88M","0.41%"
"2013- 04- 03","155.23","156.91","157.03","154.82","154.17M","-1.01%"
"2013- 04- 02","156.82","156.61","157.21","156.37","101.50M","0.49%"
"2013- 04- 01","156.05","156.59","156.91","155.67","99.19M","-0.40%"
"2013- 03- 28","156.67","156.09","156.85","155.75","102.93M","0.31%"
"2013- 03- 27","156.19","155.26","156.25","155.00","99.95M","0.00%"
"2013- 03- 26","156.19","155.59","156.23","155.42","86.86M","0.80%"
"2013- 03- 25","154.95","156.01","156.27","154.35","151.32M","-0.42%"
"2013- 03- 22","155.60","154.85","155.60","154.73","111.16M","0.80%"
"2013- 03- 21","154.36","154.76","155.64","154.10","128.60M","-0.85%"
"2013- 03- 20","155.69","155.52","155.95","155.26","113.76M","0.70%"
"2013- 03- 19","154.61","155.30","155.51","153.59","167.57M","-0.23%"
"2013- 03- 18","154.97","154.34","155.64","154.20","126.70M","-0.55%"
"2013- 03- 15","155.83","155.85","156.04","155.31","138.60M","-0.57%"
"2013- 03- 14","156.73","156.31","156.80","155.91","126.33M","0.53%"
"2013- 03- 13","155.91","155.76","156.12","155.23","92.55M","0.15%"
"2013- 03- 12","155.68","155.92","156.10","155.21","105.76M","-0.22%"
"2013- 03- 11","156.03","155.32","156.04","155.13","83.75M","0.38%"
"2013- 03- 08","155.44","155.46","155.65","154.66","123.49M","0.43%"
"2013- 03- 07","154.78","154.70","154.98","154.52","86.10M","0.18%"
"2013- 03- 06","154.50","154.84","154.92","154.16","94.47M","0.14%"
"2013- 03- 05","154.29","153.66","154.70","153.64","121.66M","0.90%"
"2013- 03- 04","152.92","151.76","152.92","151.52","99.01M","0.53%"
"2013- 03- 01","152.11","151.09","152.34","150.41","170.63M","0.33%"
"2013- 02- 28","151.61","151.90","152.87","151.41","126.87M","-0.20%"
"2013- 02- 27","151.91","149.89","152.33","149.76","150.78M","1.26%"
"2013- 02- 26","150.02","149.72","150.20","148.73","186.60M","0.68%"
"2013- 02- 25","149.00","152.63","152.86","149.00","245.82M","-1.90%"
"2013- 02- 22","151.89","151.15","151.89","150.49","106.36M","0.98%"
"2013- 02- 21","150.42","150.96","151.42","149.94","183.26M","-0.61%"
"2013- 02- 20","151.34","153.14","153.19","151.26","160.57M","-1.25%"
"2013- 02- 19","153.25","152.37","153.28","152.16","95.11M","0.75%"
"2013- 02- 15","152.11","152.43","152.59","151.55","215.23M","-0.12%"
"2013- 02- 14","152.29","151.69","152.47","151.52","80.83M","0.09%"
"2013- 02- 13","152.15","152.33","152.61","151.72","82.32M","0.09%"
"2013- 02- 12","152.02","151.78","152.30","151.61","65.39M","0.16%"
"2013- 02- 11","151.77","151.74","151.90","151.39","73.77M","-0.02%"
"2013- 02- 08","151.80","151.22","151.89","151.22","103.13M","0.56%"
"2013- 02- 07","150.96","151.21","151.35","149.86","162.49M","-0.13%"
"2013- 02- 06","151.16","150.52","151.26","150.41","138.76M","0.07%"
"2013- 02- 05","151.05","150.35","151.48","150.29","113.91M","1.02%"
"2013- 02- 04","149.53","150.32","151.27","149.43","159.07M","-1.13%"
"2013- 02- 01","151.24","150.65","151.42","150.39","131.17M","1.03%"
"2013- 01- 31","149.70","149.89","150.38","149.60","108.98M","-0.25%"
"2013- 01- 30","150.07","150.64","150.94","149.93","137.45M","-0.39%"
"2013- 01- 29","150.66","149.77","150.85","149.67","105.69M","0.39%"
"2013- 01- 28","150.07","150.29","150.33","149.51","113.36M","-0.12%"
"2013- 01- 25","150.25","149.88","150.25","149.37","147.22M","0.56%"
"2013- 01- 24","149.41","149.15","150.14","149.01","146.43M","0.03%"
"2013- 01- 23","149.37","149.13","149.50","148.86","104.60M","0.16%"
"2013- 01- 22","149.13","148.33","149.13","147.98","111.80M","0.54%"
"2013- 01- 18","148.33","147.97","148.49","147.43","169.91M","0.22%"
"2013- 01- 17","148.00","147.70","148.42","147.14","133.83M","0.65%"
"2013- 01- 16","147.05","146.77","147.28","146.61","104.85M","-0.01%"
"2013- 01- 15","147.07","146.29","147.21","146.20","93.17M","0.07%"
"2013- 01- 14","146.97","146.89","147.07","146.43","89.57M","-0.07%"
"2013- 01- 11","147.07","147.04","147.15","146.61","113.92M","-0.01%"
"2013- 01- 10","147.08","146.73","147.09","145.97","130.74M","0.79%"
"2013- 01- 09","145.92","145.87","146.32","145.64","90.75M","0.25%"
"2013- 01- 08","145.55","145.71","145.91","144.98","121.27M","-0.29%"
"2013- 01- 07","145.97","145.85","146.44","145.43","110.00M","-0.27%"
"2013- 01- 04","146.37","145.97","146.61","145.67","116.82M","0.44%"
"2013- 01- 03","145.73","145.99","146.37","145.34","144.76M","-0.23%"
"2013- 01- 02","146.06","145.11","146.15","144.73","192.06M","2.56%"
